"ID","Date","Target","Description","Amount Stolen","Technique","Country","Link"
"11","06/12/2017","NiceHash","Bitcoin mining platform and exchange NiceHash is hacked and forced to suspend the operations for 24 hours after cyber criminals make off with $68 million worth in BTC.","68.000.000","Unknown","US","Link"
"12","13/01/2018","BlackWallet","An unidentified thief reportedly steals more than $400,000 in Stellar lumens after hacking the digital wallet provider BlackWallet.","400.000","DNS Hijacking","DE","Link"
"13","19/01/2018","IOTA","Malicious websites used to generate password details for the fintech network IOTA (online seed generators) are reportedly to blame for the theft of nearly $4m (£2.9m) from users' digital wallets.","4.000.000","Account Hijacking",">1","Link"
"14","26/01/2018","Coincheck","Japanese cryptocurrency exchange Coincheck confirms that some $524 million worth of digital coins (a cryptocurrency called NEM) has been stolen—likely making it the largest single hack on an exchange.","524.000.000","Unknown","JP","Link"
"15","28/01/2018","Experty","A hacker tricks Experty ICO participants into sending Ethereum funds to the wrong wallet address. He is able to do this by sending emails with a fake pre-ICO sale announcement to Experty users who signed up for notifications. The bounty amounts to $150,00","150.000","Account Hijacking","CH","Link"
"16","31/01/2018","Bee Token","Users who were aiming to buy Bee Tokens during a Token Generation Event (i.e., an initial coin offering) are tricked into sending the money to scammers instead. The attackers steal nearly $1M worth of cryptocurrency.","1.000.000","Account Hijacking","US","Link"
"17","10/02/2018","BitGrail","Italian cryptocurrency exchange BitGrail reports a loss of 17 million Nano, valued at over $170 million at the time of the hack. However, conflicting reports surface with some believing the exchange to be insolvent for a number of months.","170.000.000","Unknown","IT","Link"
"18","04/04/2018","Verge","An unknown attacker has exploited a bug in the Verge cryptocurrency network code to mine Verge coins at a very rapid pace","780.000","Unknown","N/A","Link"
"19","12/04/2018","Coinsecure","Cryptocurrency exchange Coinsecure, India’s second exchange, announces that it has suffered a severe issue, 438 bitcoin, $3,3 million worth, have been transferred from the main wallet to an account that is not under their control.","3.300.000","Unknown","IN","Link"
"20","18/04/2018","Ian Balina","Ian Balina, a well-known sponsored YouTube blogger is hacked, while streaming, loosing roughly $2 million in tokens.","2.000.000","Account Hijacking","US","Link"
