Time,bit-x,bitfinex,bitflyer,bitstamp,coinbase,gemini,hitbtc,kraken,okcoin,others
2017-03-01 00:00:00 UTC,187004.319,1011662.56144196,581683.644152239,366442.60672462,386756.75363224,159849.24189044,242.92,581949.58346154,378994.156,1392001.1226993024
2017-04-01 00:00:00 UTC,165260.958,419458.23592728,243934.02363674,188636.05786282,248682.846578349,136644.751927018,131.92,301778.58463418,303230.704,925493.559299547
2017-05-01 00:00:00 UTC,166297.674,740583.28412815,422066.836973689,535696.75103587,625137.329019489,302746.325466253,4212.23,872844.51977934,733322.988999999,1828500.497747494
2017-06-01 00:00:00 UTC,153502.913,645492.562182241,336721.060650839,514542.7910829,602688.099850847,283144.435480395,3484.98,716152.12162001,509853.988999999,1146883.1663618092
2017-07-01 00:00:00 UTC,160365.909,940068.545335881,460525.718035799,499543.7430141,475884.189109529,419253.367897921,27094.06,670890.94368474,434236.353999999,1040120.1335932044
2017-08-01 00:00:00 UTC,142304.557,944432.310209301,405275.954822129,432611.22567565,486517.888120119,328282.763124734,46597.6,544443.16735096,588052.946999999,1079640.9853351219
2017-09-01 00:00:00 UTC,123161.348,1490809.04507677,555816.737596388,603727.34935151,511527.28482364,293250.620690871,74544.7900000001,517220.389989629,571515.550000001,829595.8977092295
2017-10-01 00:00:00 UTC,135762.47,1341105.25805507,648158.56157004,435538.78163626,404975.707176769,196825.457293196,105643.830000001,337791.17363039,92787.4399999999,453510.2306656062
2017-11-01 00:00:00 UTC,77616.17,2100417.39102696,737281.264963559,590921.670966909,879739.31739271,278425.446680496,250797.599999998,430374.9965188,,673824.7048451396
2017-12-01 00:00:00 UTC,137984.4753,2211209.50251341,695088.972867324,715476.926365229,1275295.52217232,356256.413657956,201473.309999998,346981.09784531,,653092.5285835246
2018-01-01 00:00:00 UTC,161447.5157,1597840.08141045,532036.178122113,598395.21539793,790262.270440697,285200.906248989,175023.169999999,448727.23752921,,524412.1241123917
2018-02-01 00:00:00 UTC,142464.5021,1880057.39696713,818750.865131781,723672.98789349,963166.134347175,264897.641267808,184818.469999999,790505.165480869,,502621.03465585306
2018-03-01 00:00:00 UTC,156389.9089,1770752.21717423,713135.65571732,612296.522878169,747471.259377658,218746.202127148,193951.779999999,764518.369110659,,430619.8064394656
2018-04-01 00:00:00 UTC,127280.5149,1256129.67892225,543239.627301566,445692.57860415,481559.620051889,129339.326650145,195967.169999999,445426.22244368,,292892.6848087254
2018-05-01 00:00:00 UTC,132517.4685,813996.036749328,401562.995844545,359873.66775669,334031.074398229,103472.317246117,227748.469999999,299939.74762354,,349598.3275259111
2018-06-01 00:00:00 UTC,128815.5403,701110.720707983,257089.210125238,281441.98651898,276579.513714998,80965.2972624524,247809.219999999,276413.961270689,,295442.56385653635
2018-07-01 00:00:00 UTC,160338.0502,785191.783292803,202119.289303777,279258.9498935,307232.425543149,93030.2390400712,262942.099999999,256660.09400074,,236479.94775197157
2018-08-01 00:00:00 UTC,161005.4313,906077.807762352,247562.608158797,288687.39116685,354511.098026659,90088.5318033911,279261.159999997,300132.15734821,,287288.7459937321
2018-09-01 00:00:00 UTC,429919.9599,650142.606538121,193351.103416119,204307.16764456,268213.671712739,66528.6239034712,,232065.08819405,,244764.75017107738
2018-10-01 00:00:00 UTC,632582.5149,411973.526357941,121697.69450261,157400.6701972,200983.63102836,78440.4492060803,,168172.25799207,,248916.9254934694
2018-11-01 00:00:00 UTC,751466.9969,948425.584421085,302909.119328478,413082.40547272,553908.139078772,163654.926559254,,464908.9644096,,533044.5580981119
2018-12-01 00:00:00 UTC,742706.8526,969513.860709384,352105.973292859,425935.34785079,553280.225219559,163687.738714725,,595691.051100169,,448730.9161561697
2019-01-01 00:00:00 UTC,205567.8459,433174.664702411,152379.9817006,259192.61910764,345422.883868229,88989.0445415642,,337171.94425127,,239702.4172940602
2019-02-01 00:00:00 UTC,178423.0605,372923.923323241,115412.06535102,238672.30944027,300400.27247748,67963.8209159689,,265156.81397853,,184231.42232603047
